PROD_CODE,PRODUCT_DIV,PRODUCT_GROUP,PRODUCT_LINE
PRD0903578,DEP00088,G00029,D00008
PRD0904090,DEP00089,G00030,D00009
PRD0904355,DEP00026,G00008,D00002
PRD0900851,DEP00018,G00006,D00002
PRD0900366,DEP00031,G00008,D00002
PRD0904247,DEP00083,G00028,D00008
PRD0902809,DEP00070,G00022,D00005
PRD0904957,DEP00079,G00025,D00006
PRD0900844,DEP00032,G00009,D00002
PRD0900817,DEP00043,G00012,D00003
PRD0900251,DEP00018,G00006,D00002
PRD0902580,DEP00057,G00017,D00004
PRD0901877,DEP00056,G00017,D00004
PRD0904663,DEP00070,G00022,D00005
PRD0901010,DEP00085,G00028,D00008
PRD0902022,DEP00070,G00022,D00005
PRD0903310,DEP00062,G00018,D00004
PRD0902420,DEP00018,G00006,D00002
PRD0902757,DEP00028,G00008,D00002
PRD0902422,DEP00062,G00018,D00004
PRD0904094,DEP00026,G00008,D00002
PRD0901205,DEP00070,G00022,D00005
PRD0903691,DEP00018,G00006,D00002
PRD0903427,DEP00062,G00018,D00004
PRD0904384,DEP00040,G00011,D00003
PRD0900724,DEP00050,G00014,D00003
PRD0900571,DEP00028,G00008,D00002
PRD0903517,DEP00062,G00018,D00004
PRD0904880,DEP00043,G00012,D00003
PRD0903327,DEP00089,G00030,D00009
PRD0900636,DEP00088,G00029,D00008
PRD0903236,DEP00018,G00006,D00002
PRD0900786,DEP00050,G00014,D00003
PRD0903764,DEP00071,G00022,D00005
PRD0900435,DEP00050,G00014,D00003
PRD0902584,DEP00018,G00006,D00002
PRD0902392,DEP00015,G00005,D00002
PRD0902880,DEP00043,G00012,D00003
PRD0902266,DEP00040,G00011,D00003
PRD0901950,DEP00062,G00018,D00004
PRD0901852,DEP00088,G00029,D00008
PRD0900426,DEP00068,G00022,D00005
PRD0900891,DEP00029,G00008,D00002
PRD0901687,DEP00068,G00022,D00005
PRD0902777,DEP00068,G00022,D00005
PRD0902373,DEP00072,G00023,D00005
PRD0901703,DEP00071,G00022,D00005
PRD0900434,DEP00050,G00014,D00003
PRD0903029,DEP00070,G00022,D00005
PRD0902153,DEP00070,G00022,D00005
PRD0900358,DEP00018,G00006,D00002
PRD0900293,DEP00084,G00028,D00008
PRD0901064,DEP00071,G00022,D00005
PRD0901962,DEP00089,G00030,D00009
PRD0904018,DEP00050,G00014,D00003
PRD0902236,DEP00083,G00028,D00008
PRD0900478,DEP00050,G00014,D00003
PRD0901128,DEP00068,G00022,D00005
PRD0902071,DEP00026,G00008,D00002
PRD0904938,DEP00017,G00006,D00002
PRD0902713,DEP00088,G00029,D00008
PRD0903288,DEP00071,G00022,D00005
PRD0903363,DEP00040,G00011,D00003
PRD0903097,DEP00087,G00028,D00008
PRD0901621,DEP00070,G00022,D00005
PRD0902067,DEP00068,G00022,D00005
PRD0901174,DEP00062,G00018,D00004
PRD0903973,DEP00059,G00017,D00004
PRD0903455,DEP00070,G00022,D00005
PRD0900113,DEP00062,G00018,D00004
PRD0903166,DEP00057,G00017,D00004
PRD0904328,DEP00071,G00022,D00005
PRD0904061,DEP00089,G00030,D00009
PRD0903879,DEP00018,G00006,D00002
PRD0901886,DEP00031,G00008,D00002
PRD0902303,DEP00018,G00006,D00002
PRD0901741,DEP00071,G00022,D00005
PRD0901822,DEP00018,G00006,D00002
PRD0904077,DEP00018,G00006,D00002
PRD0902742,DEP00050,G00014,D00003
PRD0900674,DEP00043,G00012,D00003
PRD0902472,DEP00040,G00011,D00003
PRD0900858,DEP00006,G00003,D00001
PRD0902309,DEP00062,G00018,D00004
PRD0900982,DEP00061,G00018,D00004
PRD0902965,DEP00070,G00022,D00005
PRD0901590,DEP00007,G00003,D00001
PRD0903322,DEP00068,G00022,D00005
PRD0901831,DEP00061,G00018,D00004
PRD0900439,DEP00043,G00012,D00003
PRD0904865,DEP00084,G00028,D00008
PRD0900398,DEP00040,G00011,D00003
PRD0900154,DEP00089,G00030,D00009
PRD0900795,DEP00062,G00018,D00004
PRD0904394,DEP00028,G00008,D00002
PRD0903549,DEP00061,G00018,D00004
PRD0904305,DEP00031,G00008,D00002
PRD0904735,DEP00083,G00028,D00008
PRD0900518,DEP00071,G00022,D00005
PRD0902630,DEP00043,G00012,D00003
PRD0901752,DEP00068,G00022,D00005
PRD0903608,DEP00084,G00028,D00008
PRD0904345,DEP00031,G00008,D00002
PRD0901112,DEP00028,G00008,D00002
PRD0901652,DEP00083,G00028,D00008
PRD0900735,DEP00062,G00018,D00004
PRD0901671,DEP00032,G00009,D00002
PRD0904164,DEP00063,G00018,D00004
PRD0903977,DEP00061,G00018,D00004
PRD0904515,DEP00056,G00017,D00004
PRD0902611,DEP00086,G00028,D00008
PRD0901653,DEP00083,G00028,D00008
PRD0900083,DEP00040,G00011,D00003
PRD0904252,DEP00028,G00008,D00002
PRD0901235,DEP00062,G00018,D00004
PRD0903493,DEP00083,G00028,D00008
PRD0900277,DEP00068,G00022,D00005
PRD0903703,DEP00070,G00022,D00005
PRD0903615,DEP00062,G00018,D00004
PRD0901211,DEP00028,G00008,D00002
PRD0900997,DEP00050,G00014,D00003
PRD0903381,DEP00029,G00008,D00002
PRD0904590,DEP00026,G00008,D00002
PRD0904411,DEP00028,G00008,D00002
PRD0901803,DEP00070,G00022,D00005
PRD0903287,DEP00028,G00008,D00002
PRD0904662,DEP00043,G00012,D00003
PRD0900423,DEP00029,G00008,D00002
PRD0904644,DEP00083,G00028,D00008
PRD0901482,DEP00068,G00022,D00005
PRD0902921,DEP00071,G00022,D00005
PRD0903237,DEP00062,G00018,D00004
PRD0903579,DEP00082,G00027,D00008
PRD0904527,DEP00056,G00017,D00004
PRD0900773,DEP00050,G00014,D00003
PRD0902180,DEP00061,G00018,D00004
PRD0900454,DEP00070,G00022,D00005
PRD0902811,DEP00068,G00022,D00005
PRD0901879,DEP00062,G00018,D00004
PRD0904139,DEP00056,G00017,D00004
PRD0902156,DEP00070,G00022,D00005
PRD0901210,DEP00068,G00022,D00005
PRD0902117,DEP00050,G00014,D00003
PRD0902061,DEP00018,G00006,D00002
PRD0904988,DEP00071,G00022,D00005
PRD0902698,DEP00090,G00031,D00009
PRD0904890,DEP00068,G00022,D00005
PRD0900345,DEP00083,G00028,D00008
PRD0900133,DEP00040,G00011,D00003
PRD0901760,DEP00031,G00008,D00002
PRD0900977,DEP00086,G00028,D00008
PRD0903218,DEP00071,G00022,D00005
PRD0901754,DEP00090,G00031,D00009
PRD0900855,DEP00061,G00018,D00004
PRD0901196,DEP00083,G00028,D00008
PRD0904751,DEP00083,G00028,D00008
PRD0903573,DEP00026,G00008,D00002
PRD0904392,DEP00007,G00003,D00001
PRD0900825,DEP00018,G00006,D00002
PRD0903178,DEP00031,G00008,D00002
PRD0901411,DEP00083,G00028,D00008
PRD0903380,DEP00029,G00008,D00002
PRD0904626,DEP00084,G00028,D00008
PRD0901055,DEP00089,G00030,D00009
PRD0904711,DEP00062,G00018,D00004
PRD0904559,DEP00026,G00008,D00002
PRD0904610,DEP00062,G00018,D00004
PRD0904854,DEP00031,G00008,D00002
PRD0900352,DEP00026,G00008,D00002
PRD0901423,DEP00089,G00030,D00009
PRD0900590,DEP00062,G00018,D00004
PRD0903702,DEP00071,G00022,D00005
PRD0900575,DEP00026,G00008,D00002
PRD0903045,DEP00056,G00017,D00004
PRD0903529,DEP00001,G00001,D00001
PRD0902993,DEP00001,G00001,D00001
PRD0901861,DEP00001,G00001,D00001
PRD0900254,DEP00001,G00001,D00001
PRD0904478,DEP00001,G00001,D00001
PRD0901577,DEP00001,G00001,D00001
PRD0904511,DEP00001,G00001,D00001
PRD0903469,DEP00001,G00001,D00001
PRD0904501,DEP00001,G00001,D00001
PRD0904945,DEP00001,G00001,D00001
PRD0903788,DEP00001,G00001,D00001
PRD0904441,DEP00001,G00001,D00001
PRD0903643,DEP00001,G00001,D00001
PRD0904421,DEP00001,G00001,D00001
PRD0902492,DEP00001,G00001,D00001
PRD0903362,DEP00001,G00001,D00001
PRD0903317,DEP00001,G00001,D00001
PRD0902560,DEP00001,G00001,D00001
PRD0901533,DEP00001,G00001,D00001
PRD0903441,DEP00001,G00001,D00001
PRD0902632,DEP00001,G00001,D00001
PRD0900097,DEP00001,G00001,D00001
PRD0903423,DEP00001,G00001,D00001
PRD0900139,DEP00001,G00001,D00001
PRD0900202,DEP00001,G00001,D00001
PRD0901789,DEP00001,G00001,D00001
PRD0900819,DEP00001,G00001,D00001
PRD0904896,DEP00002,G00001,D00001
PRD0902068,DEP00002,G00001,D00001
PRD0904920,DEP00002,G00001,D00001
PRD0902618,DEP00002,G00001,D00001
PRD0900859,DEP00002,G00001,D00001
PRD0901458,DEP00002,G00001,D00001
PRD0901122,DEP00002,G00001,D00001
PRD0900290,DEP00002,G00001,D00001
PRD0904639,DEP00002,G00001,D00001
PRD0901651,DEP00002,G00001,D00001
PRD0904623,DEP00002,G00001,D00001
PRD0902843,DEP00002,G00001,D00001
PRD0904469,DEP00002,G00001,D00001
PRD0903194,DEP00002,G00001,D00001
PRD0901826,DEP00002,G00001,D00001
PRD0903875,DEP00002,G00001,D00001
PRD0900517,DEP00002,G00001,D00001
PRD0903986,DEP00002,G00001,D00001
PRD0901243,DEP00002,G00001,D00001
PRD0900637,DEP00002,G00001,D00001
PRD0900021,DEP00002,G00001,D00001
PRD0902238,DEP00002,G00001,D00001
PRD0904121,DEP00002,G00001,D00001
PRD0900080,DEP00002,G00001,D00001
PRD0900300,DEP00002,G00001,D00001
PRD0904315,DEP00002,G00001,D00001
PRD0900755,DEP00002,G00001,D00001
PRD0901928,DEP00002,G00001,D00001
PRD0904029,DEP00002,G00001,D00001
PRD0904286,DEP00002,G00001,D00001
PRD0903261,DEP00002,G00001,D00001
PRD0904005,DEP00002,G00001,D00001
PRD0902232,DEP00002,G00001,D00001
PRD0900336,DEP00002,G00001,D00001
PRD0901942,DEP00002,G00001,D00001
PRD0903274,DEP00003,G00002,D00001
PRD0902712,DEP00003,G00002,D00001
PRD0900894,DEP00003,G00002,D00001
PRD0900930,DEP00003,G00002,D00001
PRD0902290,DEP00003,G00002,D00001
PRD0901961,DEP00003,G00002,D00001
PRD0902188,DEP00003,G00002,D00001
PRD0901647,DEP00003,G00002,D00001
PRD0904593,DEP00003,G00002,D00001
PRD0904115,DEP00003,G00002,D00001
PRD0900146,DEP00003,G00002,D00001
PRD0901493,DEP00003,G00002,D00001
PRD0901416,DEP00003,G00002,D00001
PRD0903818,DEP00003,G00002,D00001
PRD0900692,DEP00003,G00002,D00001
PRD0901769,DEP00003,G00002,D00001
PRD0902484,DEP00003,G00002,D00001
