TRANSACTION_DATE,TRANSACTION__HOUR,TRANSACTION__ID,CUSTOMER_ID,BRANCH,PROD_CODE,UNITS,AMOUNT
20070326,17,9.94105E+14,CUST0000862051,STORE02760,PRD0903578,1,10.99
20071214,10,9.94109E+14,CUST0000397585,STORE01419,PRD0904090,1,1
20070326,21,9.94105E+14,CUST0000766081,STORE02362,PRD0904355,1,0.82
20070701,16,9.94106E+14,CUST0000181096,STORE01383,PRD0900851,1,1.69
20070904,9,9.94107E+14,CUST0000469012,STORE02130,PRD0900366,1,2.66
20071203,11,9.94109E+14,CUST0000118036,STORE01051,PRD0904247,1,1.59
20070114,17,9.94104E+14,CUST0000949614,STORE01943,PRD0902809,1,2.09
20070127,17,9.94104E+14,CUST0000208760,STORE00002,PRD0904957,1,0.96
20070130,15,9.94104E+14,CUST0000134010,STORE02752,PRD0900844,1,1.88
20070514,10,9.94106E+14,CUST0000374582,STORE00102,PRD0900817,1,1.62
20070520,13,9.94106E+14,CUST0000949614,STORE02663,PRD0900251,3,3.72
20070523,21,9.94106E+14,CUST0000488205,STORE00625,PRD0902580,3,7.08
20070521,15,9.94106E+14,CUST0000682732,STORE00622,PRD0901877,1,1.77
20070509,21,9.94106E+14,CUST0000676631,STORE00935,PRD0904663,1,0.21
20070528,19,9.94106E+14,CUST0000118036,STORE02692,PRD0901010,1,3.69
20070707,10,9.94107E+14,CUST0000862051,STORE02760,PRD0902022,1,1.01
20070806,17,9.94107E+14,CUST0000374582,STORE02577,PRD0903310,1,1.25
20070821,20,9.94107E+14,CUST0000949614,STORE02566,PRD0902420,1,2.49
20070112,12,9.94104E+14,CUST0000862051,STORE02760,PRD0902757,1,1.25
20071017,16,9.94108E+14,CUST0000682732,STORE00622,PRD0902422,3,1.95
20071218,21,9.94109E+14,CUST0000181096,STORE01383,PRD0904094,1,1.57
20070109,10,9.94104E+14,CUST0000611285,STORE01230,PRD0901205,1,0.4
20071129,15,9.94109E+14,CUST0000766081,STORE02362,PRD0903691,3,11.55
20071127,12,9.94109E+14,CUST0000374582,STORE02577,PRD0903427,1,3.7
20070406,21,9.94105E+14,CUST0000949614,STORE02663,PRD0904384,1,0.36
20070212,19,9.94105E+14,CUST0000676631,STORE00935,PRD0904663,1,0.21
20070126,13,9.94104E+14,CUST0000181096,STORE01383,PRD0900724,1,1.33
20070708,14,9.94107E+14,CUST0000682732,STORE00622,PRD0900571,1,0.88
20071223,21,9.94109E+14,CUST0000118036,STORE02692,PRD0903517,1,3.59
20070106,8,9.94104E+14,CUST0000219040,STORE00479,PRD0904880,1,3.63
20071113,14,9.94108E+14,CUST0000862051,STORE02760,PRD0902022,1,1.01
20070113,14,9.94104E+14,CUST0000404091,STORE00479,PRD0903327,1,0.65
20070429,13,9.94106E+14,CUST0000118036,STORE01051,PRD0900636,1,4.56
20070502,14,9.94106E+14,CUST0000862051,STORE02760,PRD0902022,1,1.01
20070527,19,9.94106E+14,CUST0000949614,STORE02663,PRD0903236,3,5.49
20070429,13,9.94106E+14,CUST0000422101,STORE02561,PRD0900786,1,1.88
20070226,14,9.94105E+14,CUST0000134010,STORE02752,PRD0903764,1,0.53
20070222,9,9.94105E+14,CUST0000422101,STORE02561,PRD0900435,1,0.68
20070310,18,9.94105E+14,CUST0000949614,STORE02663,PRD0902584,1,2.78
20070602,14,9.94106E+14,CUST0000293690,STORE00150,PRD0902392,1,0.01
20070704,8,9.94107E+14,CUST0000469012,STORE02743,PRD0902880,1,0.26
20070708,14,9.94107E+14,CUST0000682732,STORE00622,PRD0902266,1,0.41
20070703,21,9.94107E+14,CUST0000050414,STORE01546,PRD0901950,3,1.77
20070831,15,9.94107E+14,CUST0000293690,STORE00150,PRD0901852,1,2.48
20070814,21,9.94107E+14,CUST0000172580,STORE00119,PRD0900426,1,0.46
20070902,15,9.94107E+14,CUST0000579905,STORE01982,PRD0900891,1,0.57
20070908,18,9.94107E+14,CUST0000293690,STORE00336,PRD0904663,1,0.21
20070803,15,9.94107E+14,CUST0000579905,STORE00288,PRD0901687,1,0.24
20070925,19,9.94108E+14,CUST0000172580,STORE00119,PRD0902777,1,0.48
20071109,9,9.94108E+14,CUST0000657327,STORE01062,PRD0902373,5,0.05
20070909,16,9.94107E+14,CUST0000422101,STORE02561,PRD0901703,1,1.62
20071002,19,9.94108E+14,CUST0000682732,STORE00622,PRD0900434,1,1.74
20071011,15,9.94108E+14,CUST0000397585,STORE01310,PRD0903029,1,0.57
20071218,12,9.94109E+14,CUST0000374582,STORE01687,PRD0902153,1,1.08
20080101,20,9.94109E+14,CUST0000676631,STORE00935,PRD0900358,1,3.69
20070103,12,9.94104E+14,CUST0000862051,STORE02760,PRD0900293,1,3.48
20071115,17,9.94108E+14,CUST0000208760,STORE00960,PRD0901064,1,0.24
20071121,17,9.94109E+14,CUST0000676631,STORE00935,PRD0904663,1,0.21
20071201,8,9.94109E+14,CUST0000374582,STORE02577,PRD0901962,4,1.44
20070329,19,9.94105E+14,CUST0000710223,STORE02280,PRD0904018,1,0.52
20070412,21,9.94105E+14,CUST0000219040,STORE01946,PRD0902236,1,2.98
20070329,19,9.94105E+14,CUST0000710223,STORE02280,PRD0900478,1,1.33
20070418,15,9.94105E+14,CUST0000358383,STORE01453,PRD0901128,4,1.28
20070126,13,9.94104E+14,CUST0000181096,STORE01383,PRD0902071,1,3.25
20070128,16,9.94104E+14,CUST0000181096,STORE01383,PRD0904938,3,5.67
20070528,19,9.94106E+14,CUST0000118036,STORE02692,PRD0902713,1,7.98
20071212,10,9.94109E+14,CUST0000657327,STORE00633,PRD0903288,1,1.13
20070402,21,9.94105E+14,CUST0000397585,STORE01419,PRD0903363,1,0.76
20071218,21,9.94109E+14,CUST0000181096,STORE01383,PRD0903097,1,8.13
20070125,14,9.94104E+14,CUST0000488205,STORE02035,PRD0901621,1,6.71
20070216,17,9.94105E+14,CUST0000657327,STORE00633,PRD0902067,11,28.16
20070222,15,9.94105E+14,CUST0000579905,STORE01982,PRD0904880,8,29.04
20070311,19,9.94105E+14,CUST0000134010,STORE02752,PRD0901174,1,0.18
20070216,9,9.94105E+14,CUST0000181096,STORE00611,PRD0903973,1,5.44
20070222,9,9.94105E+14,CUST0000422101,STORE02561,PRD0902777,1,0.48
20070602,14,9.94106E+14,CUST0000293690,STORE00150,PRD0903455,1,0.96
20070619,14,9.94106E+14,CUST0000374582,STORE01687,PRD0900817,1,1.62
20070528,17,9.94106E+14,CUST0000825107,STORE01246,PRD0900113,1,9.71
20070606,20,9.94106E+14,CUST0000397585,STORE00533,PRD0903166,1,1.23
20070722,9,9.94107E+14,CUST0000397585,STORE01419,PRD0904090,1,1
20070619,15,9.94106E+14,CUST0000374582,STORE01604,PRD0904328,3,8.55
20070722,9,9.94107E+14,CUST0000397585,STORE01419,PRD0904061,3,1.02
20070826,16,9.94107E+14,CUST0000766081,STORE02362,PRD0904355,3,2.46
20070801,17,9.94107E+14,CUST0000293690,STORE00150,PRD0901852,1,2.48
20070820,17,9.94107E+14,CUST0000293690,STORE00150,PRD0901852,1,2.48
20070914,20,9.94108E+14,CUST0000676631,STORE00935,PRD0903879,1,3.37
20070427,18,9.94106E+14,CUST0000488205,STORE02406,PRD0901886,3,3.48
20070924,17,9.94108E+14,CUST0000208760,STORE01574,PRD0902303,3,6.78
20070924,17,9.94108E+14,CUST0000208760,STORE01574,PRD0900478,1,1.33
20070927,14,9.94108E+14,CUST0000862051,STORE02760,PRD0901741,1,1.61
20071208,21,9.94109E+14,CUST0000825107,STORE01813,PRD0900113,3,29.13
20070114,17,9.94104E+14,CUST0000949614,STORE01943,PRD0902420,1,2.49
20071112,17,9.94108E+14,CUST0000118036,STORE02692,PRD0904247,3,4.77
20070321,21,9.94105E+14,CUST0000050414,STORE01546,PRD0901822,3,8.19
20071018,13,9.94108E+14,CUST0000208760,STORE01574,PRD0904077,1,3.95
20070930,11,9.94108E+14,CUST0000682732,STORE00622,PRD0902742,1,0.54
20070406,20,9.94105E+14,CUST0000461300,STORE02231,PRD0900674,6,6.12
20070313,13,9.94105E+14,CUST0000862051,STORE02760,PRD0902022,1,1.01
20070816,12,9.94107E+14,CUST0000469012,STORE02743,PRD0902472,1,0.2
20070121,18,9.94104E+14,CUST0000022777,STORE02614,PRD0900858,3,1.14
20070220,13,9.94105E+14,CUST0000825107,STORE01813,PRD0902309,3,1.83
20070225,20,9.94105E+14,CUST0000949614,STORE02663,PRD0900982,1,6.09
20070109,17,9.94104E+14,CUST0000181096,STORE01383,PRD0902965,1,0.01
20070223,14,9.94105E+14,CUST0000022777,STORE00277,PRD0901590,1,1.44
20070222,9,9.94105E+14,CUST0000422101,STORE02561,PRD0903322,1,0.46
20070528,13,9.94106E+14,CUST0000825107,STORE01359,PRD0900113,1,9.71
20070528,13,9.94106E+14,CUST0000825107,STORE01359,PRD0900366,3,7.98
20070703,21,9.94107E+14,CUST0000050414,STORE01546,PRD0901831,1,2
20071002,9,9.94108E+14,CUST0000219040,STORE01946,PRD0900439,1,1.4
20070821,20,9.94107E+14,CUST0000949614,STORE02566,PRD0904865,1,4.42
20070822,21,9.94107E+14,CUST0000676631,STORE00935,PRD0902303,1,2.26
20070809,9,9.94107E+14,CUST0000469012,STORE00234,PRD0900398,3,0.54
20070706,12,9.94107E+14,CUST0000862051,STORE02760,PRD0900293,1,3.48
20071008,13,9.94108E+14,CUST0000825107,STORE01246,PRD0900113,1,9.71
20071214,10,9.94109E+14,CUST0000397585,STORE01419,PRD0900154,3,0.78
20071013,10,9.94108E+14,CUST0000862051,STORE02760,PRD0900795,4,4.08
20071226,15,9.94109E+14,CUST0000208760,STORE00755,PRD0904394,1,0.62
20071202,13,9.94109E+14,CUST0000488205,STORE02035,PRD0903549,1,0.59
20071115,13,9.94108E+14,CUST0000022777,STORE00277,PRD0904305,1,2.33
20071126,17,9.94109E+14,CUST0000676631,STORE00935,PRD0904663,1,0.21
20070322,21,9.94105E+14,CUST0000050414,STORE01546,PRD0900435,1,0.68
20070714,17,9.94107E+14,CUST0000862051,STORE02760,PRD0902022,1,1.01
20071013,17,9.94108E+14,CUST0000208760,STORE00755,PRD0903166,1,1.23
20070411,13,9.94105E+14,CUST0000461300,STORE02231,PRD0900674,3,3.06
20070417,15,9.94105E+14,CUST0000358383,STORE01453,PRD0904735,8,73.92
20070812,12,9.94107E+14,CUST0000293690,STORE00150,PRD0902392,1,0.01
20070429,12,9.94106E+14,CUST0000862051,STORE02760,PRD0902022,3,3.03
20070223,10,9.94105E+14,CUST0000579905,STORE01982,PRD0904880,1,3.63
20070303,21,9.94105E+14,CUST0000825107,STORE01813,PRD0900113,1,9.71
20071020,13,9.94108E+14,CUST0000022777,STORE00277,PRD0900518,1,1.05
20070423,21,9.94106E+14,CUST0000461300,STORE02231,PRD0902630,1,2.23
20070310,9,9.94105E+14,CUST0000422101,STORE02561,PRD0901752,1,11.11
20070213,17,9.94105E+14,CUST0000181096,STORE01383,PRD0903608,1,5.62
20070621,16,9.94106E+14,CUST0000397585,STORE00533,PRD0904345,1,0.96
20070621,16,9.94106E+14,CUST0000397585,STORE00533,PRD0901112,1,1.05
20070625,20,9.94106E+14,CUST0000488205,STORE00625,PRD0901652,1,3.6
20070715,21,9.94107E+14,CUST0000825107,STORE01359,PRD0900113,1,9.71
20070808,21,9.94107E+14,CUST0000825107,STORE01813,PRD0900113,1,9.71
20071105,16,9.94108E+14,CUST0000050414,STORE01546,PRD0900398,3,0.54
20070817,8,9.94107E+14,CUST0000682732,STORE00622,PRD0900735,1,3.54
20071216,11,9.94109E+14,CUST0000374582,STORE02577,PRD0901671,3,4.68
20070809,9,9.94107E+14,CUST0000469012,STORE00234,PRD0900435,1,0.68
20071213,15,9.94109E+14,CUST0000358383,STORE01453,PRD0903608,1,5.62
20071203,11,9.94109E+14,CUST0000118036,STORE01051,PRD0904164,1,1.08
20070321,11,9.94105E+14,CUST0000101036,STORE01567,PRD0903977,1,0.61
20070329,15,9.94105E+14,CUST0000404091,STORE00479,PRD0904515,1,0.99
20070415,10,9.94105E+14,CUST0000359365,STORE02196,PRD0902611,1,0.01
20070328,16,9.94105E+14,CUST0000061889,STORE00272,PRD0901653,1,6.01
20070321,13,9.94105E+14,CUST0000682732,STORE00622,PRD0902266,1,0.41
20070321,13,9.94105E+14,CUST0000682732,STORE00622,PRD0900083,1,0.31
20070622,11,9.94106E+14,CUST0000118036,STORE02692,PRD0904252,1,0.59
20070407,15,9.94105E+14,CUST0000862051,STORE02760,PRD0900293,1,3.48
20071203,11,9.94109E+14,CUST0000118036,STORE01051,PRD0901235,1,4.85
20071109,17,9.94108E+14,CUST0000404091,STORE00479,PRD0903493,1,7.49
